issue_id,issue_type,status,priority,assignee_id,assignee_name,assignee_email,created_at,resolved_at,resolution_hours,sla_expected_hours,is_sla_met
JIRA-0002,Bug,Resolved,High,u004,Francinne,francinne@fasttrack.com,2025-03-09 12:39:26+00:00,2025-03-10 10:39:26+00:00,10.0,24,True
JIRA-0004,Story,Done,High,u004,Francinne,francinne@fasttrack.com,2025-11-22 20:24:58+00:00,2025-11-23 07:24:58+00:00,0.0,24,True
JIRA-0005,Task,Resolved,Medium,u004,Francinne,francinne@fasttrack.com,2025-01-06 01:08:44+00:00,2025-01-07 09:08:44+00:00,32.0,72,True
JIRA-0008,Story,Resolved,High,u001,Matheus Malta,matheus.malta@fasttrack.com,2025-04-07 22:55:41+00:00,2025-04-08 14:55:41+00:00,16.0,24,True
JIRA-0009,Story,Resolved,Medium,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-10-08 21:21:55+00:00,2025-10-12 10:21:55+00:00,51.0,72,True
JIRA-0011,Story,Resolved,High,u004,Francinne,francinne@fasttrack.com,2025-10-23 06:03:59+00:00,2025-10-23 18:03:59+00:00,12.0,24,True
JIRA-0013,Story,Resolved,Medium,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-02-25 11:02:21+00:00,2025-03-01 04:02:21+00:00,85.0,72,False
JIRA-0014,Story,Done,Low,u003,Guilherme Francisco,guilherme@fasttrack.com,2025-12-26 01:09:17+00:00,2025-12-31 02:09:17+00:00,73.0,120,True
JIRA-0015,Bug,Done,Low,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-09-09 21:04:05+00:00,2025-09-11 11:04:05+00:00,38.0,120,True
JIRA-0016,Story,Done,Medium,u005,Adyna,adyna@fasttrack.com,2025-02-21 09:50:42+00:00,2025-02-23 00:50:42+00:00,15.0,72,True
JIRA-0017,Bug,Done,Medium,u004,Francinne,francinne@fasttrack.com,2026-01-23 18:20:42+00:00,2026-01-26 08:20:42+00:00,14.0,72,True
JIRA-0019,Task,Done,Low,u005,Adyna,adyna@fasttrack.com,2025-06-20 08:26:06+00:00,2025-06-22 19:26:06+00:00,16.0,120,True
JIRA-0020,Story,Resolved,High,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-03-27 04:00:28+00:00,2025-03-27 12:00:28+00:00,8.0,24,True
JIRA-0021,Task,Done,Medium,u005,Adyna,adyna@fasttrack.com,2025-10-26 20:34:57+00:00,2025-10-29 08:34:57+00:00,56.0,72,True
JIRA-0022,Task,Done,Low,u005,Adyna,adyna@fasttrack.com,2025-01-09 22:01:18+00:00,2025-01-12 03:01:18+00:00,26.0,120,True
JIRA-0023,Task,Done,Low,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-08-16 23:14:20+00:00,2025-08-22 14:14:20+00:00,110.0,120,True
JIRA-0024,Story,Resolved,High,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-07-24 13:55:39+00:00,2025-07-25 09:55:39+00:00,20.0,24,True
JIRA-0025,Story,Resolved,High,u005,Adyna,adyna@fasttrack.com,2025-08-20 19:24:50+00:00,2025-08-22 01:24:50+00:00,30.0,24,False
JIRA-0027,Task,Done,High,u001,Matheus Malta,matheus.malta@fasttrack.com,2026-01-15 12:16:14+00:00,2026-01-15 16:16:14+00:00,4.0,24,True
JIRA-0028,Bug,Done,Medium,u001,Matheus Malta,matheus.malta@fasttrack.com,2025-07-07 02:10:18+00:00,2025-07-10 14:10:18+00:00,60.0,72,True
JIRA-0029,Bug,Done,Low,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-02-23 18:12:53+00:00,2025-03-02 10:12:53+00:00,120.0,120,True
JIRA-0030,Story,Done,Low,u005,Adyna,adyna@fasttrack.com,2025-05-09 06:11:22+00:00,2025-05-13 01:11:22+00:00,43.0,120,True
